dx,TERM,CHAPTER,BLOCK
I301,Infective pericarditis,Diseases of the circulatory system,Other forms of heart disease
I311,Chronic constrictive pericarditis,Diseases of the circulatory system,Other forms of heart disease
I313,Pericardial effusion (noninflammatory),Diseases of the circulatory system,Other forms of heart disease
I319,"Disease of pericardium, unspecified",Diseases of the circulatory system,Other forms of heart disease
I330,Acute and subacute infective endocarditis,Diseases of the circulatory system,Other forms of heart disease
I340,Mitral (valve) insufficiency,Diseases of the circulatory system,Other forms of heart disease
I341,Mitral (valve) prolapse,Diseases of the circulatory system,Other forms of heart disease
I350,Aortic (valve) stenosis,Diseases of the circulatory system,Other forms of heart disease
I351,Aortic (valve) insufficiency,Diseases of the circulatory system,Other forms of heart disease
I352,Aortic (valve) stenosis with insufficiency,Diseases of the circulatory system,Other forms of heart disease
I361,Nonrheumatic tricuspid (valve) insufficiency,Diseases of the circulatory system,Other forms of heart disease
I370,Pulmonary valve stenosis,Diseases of the circulatory system,Other forms of heart disease
I371,Pulmonary valve insufficiency,Diseases of the circulatory system,Other forms of heart disease
I378,Other pulmonary valve disorders,Diseases of the circulatory system,Other forms of heart disease
I38,"Endocarditis, valve unspecified",Diseases of the circulatory system,Other forms of heart disease
I400,Infective myocarditis,Diseases of the circulatory system,Other forms of heart disease
I408,Other acute myocarditis,Diseases of the circulatory system,Other forms of heart disease
I420,Dilated cardiomyopathy,Diseases of the circulatory system,Other forms of heart disease
I421,Obstructive hypertrophic cardiomyopathy,Diseases of the circulatory system,Other forms of heart disease
I422,Other hypertrophic cardiomyopathy,Diseases of the circulatory system,Other forms of heart disease
I427,Cardiomyopathy due to drugs and other external agents,Diseases of the circulatory system,Other forms of heart disease
I428,Other cardiomyopathies,Diseases of the circulatory system,Other forms of heart disease
I429,"Cardiomyopathy, unspecified",Diseases of the circulatory system,Other forms of heart disease
I440,"Atrioventricular block, first degree",Diseases of the circulatory system,Other forms of heart disease
I441,"Atrioventricular block, second degree",Diseases of the circulatory system,Other forms of heart disease
I442,"Atrioventricular block, complete",Diseases of the circulatory system,Other forms of heart disease
I446,Other and unspecified fascicular block,Diseases of the circulatory system,Other forms of heart disease
I456,Pre-excitation syndrome,Diseases of the circulatory system,Other forms of heart disease
I458,Other specified conduction disorders,Diseases of the circulatory system,Other forms of heart disease
I460,Cardiac arrest with successful resuscitation,Diseases of the circulatory system,Other forms of heart disease
I469,"Cardiac arrest, unspecified",Diseases of the circulatory system,Other forms of heart disease
I471,Supraventricular tachycardia,Diseases of the circulatory system,Other forms of heart disease
I472,Ventricular tachycardia,Diseases of the circulatory system,Other forms of heart disease
I48,Atrial fibrillation and flutter,Diseases of the circulatory system,Other forms of heart disease
I480,Paroxysmal atrial fibrillation,Diseases of the circulatory system,Other forms of heart disease
I489,"Atrial fibrillation and atrial flutter, unspecified",Diseases of the circulatory system,Other forms of heart disease
I490,Ventricular fibrillation and flutter,Diseases of the circulatory system,Other forms of heart disease
I493,Ventricular premature depolarization,Diseases of the circulatory system,Other forms of heart disease
I495,Sick sinus syndrome,Diseases of the circulatory system,Other forms of heart disease
I498,Other specified cardiac arrhythmias,Diseases of the circulatory system,Other forms of heart disease
I499,"Cardiac arrhythmia, unspecified",Diseases of the circulatory system,Other forms of heart disease
I500,Congestive heart failure,Diseases of the circulatory system,Other forms of heart disease
I501,Left ventricular failure,Diseases of the circulatory system,Other forms of heart disease
I509,"Heart failure, unspecified",Diseases of the circulatory system,Other forms of heart disease
I510,"Cardiac septal defect, acquired",Diseases of the circulatory system,Other forms of heart disease
I514,"Myocarditis, unspecified",Diseases of the circulatory system,Other forms of heart disease
I518,Other ill-defined heart diseases,Diseases of the circulatory system,Other forms of heart disease
I519,"Heart disease, unspecified",Diseases of the circulatory system,Other forms of heart disease
I600,Subarachnoid haemorrhage from carotid siphon and bifurcation,Diseases of the circulatory system,Cerebrovascular diseases
I601,Subarachnoid haemorrhage from middle cerebral artery,Diseases of the circulatory system,Cerebrovascular diseases
I602,Subarachnoid haemorrhage from anterior communicating artery,Diseases of the circulatory system,Cerebrovascular diseases
I603,Subarachnoid haemorrhage from posterior communicating artery,Diseases of the circulatory system,Cerebrovascular diseases
I604,Subarachnoid haemorrhage from basilar artery,Diseases of the circulatory system,Cerebrovascular diseases
I605,Subarachnoid haemorrhage from vertebral artery,Diseases of the circulatory system,Cerebrovascular diseases
I606,Subarachnoid haemorrhage from other intracranial arteries,Diseases of the circulatory system,Cerebrovascular diseases
I607,"Subarachnoid haemorrhage from intracranial artery, unspecified",Diseases of the circulatory system,Cerebrovascular diseases
I608,Other subarachnoid haemorrhage,Diseases of the circulatory system,Cerebrovascular diseases
I609,"Subarachnoid haemorrhage, unspecified",Diseases of the circulatory system,Cerebrovascular diseases
I610,"Intracerebral haemorrhage in hemisphere, subcortical",Diseases of the circulatory system,Cerebrovascular diseases
I611,"Intracerebral haemorrhage in hemisphere, cortical",Diseases of the circulatory system,Cerebrovascular diseases
I613,Intracerebral haemorrhage in brain stem,Diseases of the circulatory system,Cerebrovascular diseases
I614,Intracerebral haemorrhage in cerebellum,Diseases of the circulatory system,Cerebrovascular diseases
I615,"Intracerebral haemorrhage, intraventricular",Diseases of the circulatory system,Cerebrovascular diseases
I618,Other intracerebral haemorrhage,Diseases of the circulatory system,Cerebrovascular diseases
I619,"Intracerebral haemorrhage, unspecified",Diseases of the circulatory system,Cerebrovascular diseases
I620,Subdural haemorrhage (acute)(nontraumatic),Diseases of the circulatory system,Cerebrovascular diseases
I621,Nontraumatic extradural haemorrhage,Diseases of the circulatory system,Cerebrovascular diseases
I629,"Intracranial haemorrhage (nontraumatic), unspecified",Diseases of the circulatory system,Cerebrovascular diseases
I630,Cerebral infarction due to thrombosis of precerebral arteries,Diseases of the circulatory system,Cerebrovascular diseases
I631,Cerebral infarction due to embolism of precerebral arteries,Diseases of the circulatory system,Cerebrovascular diseases
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,Diseases of the circulatory system,Cerebrovascular diseases
I633,Cerebral infarction due to thrombosis of cerebral arteries,Diseases of the circulatory system,Cerebrovascular diseases
I634,Cerebral infarction due to embolism of cerebral arteries,Diseases of the circulatory system,Cerebrovascular diseases
I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,Diseases of the circulatory system,Cerebrovascular diseases
I638,Other cerebral infarction,Diseases of the circulatory system,Cerebrovascular diseases
I639,"Cerebral infarction, unspecified",Diseases of the circulatory system,Cerebrovascular diseases
I64,"Stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,Cerebrovascular diseases
I651,Occlusion and stenosis of basilar artery,Diseases of the circulatory system,Cerebrovascular diseases
I652,Occlusion and stenosis of carotid artery,Diseases of the circulatory system,Cerebrovascular diseases
I658,Occlusion and stenosis of other precerebral artery,Diseases of the circulatory system,Cerebrovascular diseases
I660,Occlusion and stenosis of middle cerebral artery,Diseases of the circulatory system,Cerebrovascular diseases
I663,Occlusion and stenosis of cerebellar arteries,Diseases of the circulatory system,Cerebrovascular diseases
I668,Occlusion and stenosis of other cerebral artery,Diseases of the circulatory system,Cerebrovascular diseases
I670,"Dissection of cerebral arteries, nonruptured",Diseases of the circulatory system,Cerebrovascular diseases
I671,"Cerebral aneurysm, nonruptured",Diseases of the circulatory system,Cerebrovascular diseases
I674,Hypertensive encephalopathy,Diseases of the circulatory system,Cerebrovascular diseases
I675,Moyamoya disease,Diseases of the circulatory system,Cerebrovascular diseases
I676,Nonpyogenic thrombosis of intracranial venous system,Diseases of the circulatory system,Cerebrovascular diseases
I677,"Cerebral arteritis, not elsewhere classified",Diseases of the circulatory system,Cerebrovascular diseases
I678,Other specified cerebrovascular diseases,Diseases of the circulatory system,Cerebrovascular diseases
I691,Sequelae of intracerebral haemorrhage,Diseases of the circulatory system,Cerebrovascular diseases
I693,Sequelae of cerebral infarction,Diseases of the circulatory system,Cerebrovascular diseases
I694,"Sequelae of stroke, not specified as haemorrhage or infarction",Diseases of the circulatory system,Cerebrovascular diseases
I701,Atherosclerosis of renal artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I7010,Atherosclerosis of renal artery without gangrene,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I7020,Atherosclerosis of arteries of extremities without gangrene,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I7021,Atherosclerosis of arteries of lower extremities with gangrene,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I710,Dissection of aorta [any part],Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I711,"Thoracic aortic aneurysm, ruptured",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I712,"Thoracic aortic aneurysm, without mention of rupture",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I713,"Abdominal aortic aneurysm, ruptured",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I714,"Abdominal aortic aneurysm, without mention of rupture",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I715,"Thoracoabdominal aortic aneurysm, ruptured",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I716,"Thoracoabdominal aortic aneurysm, without mention of rupture",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I719,"Aortic aneurysm of unspecified site, without mention of rupture",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I720,Aneurysm and dissection of carotid artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I721,Aneurysm and dissection of artery of upper extremity,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I722,Aneurysm and dissection of renal artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I723,Aneurysm and dissection of iliac artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I724,Aneurysm and dissection of artery of lower extremity,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I726,Aneurysm and dissection of vertebral artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I728,Aneurysm and dissection of other specified arteries,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I731,Thromboangiitis obliterans [Buerger],Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I738,Other specified peripheral vascular diseases,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I739,"Peripheral vascular disease, unspecified",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I740,Embolism and thrombosis of abdominal aorta,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I741,Embolism and thrombosis of other and unspecified parts of aorta,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I742,Embolism and thrombosis of arteries of the upper extremities,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I743,Embolism and thrombosis of arteries of the lower extremities,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I744,"Embolism and thrombosis of arteries of extremities, unspecified",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I745,Embolism and thrombosis of iliac artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I748,Embolism and thrombosis of other arteries,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I749,Embolism and thrombosis of unspecified artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I770,"Arteriovenous fistula, acquired",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I771,Stricture of artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I772,Rupture of artery,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I774,Coeliac artery compression syndrome,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I776,"Arteritis, unspecified",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I778,Other specified disorders of arteries and arterioles,Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I779,"Disorder of arteries and arterioles, unspecified",Diseases of the circulatory system,"Diseases of arteries, arterioles and capillaries"
I801,Phlebitis and thrombophlebitis of femoral vein,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I802,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I803,"Phlebitis and thrombophlebitis of lower extremities, unspecified",Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I808,Phlebitis and thrombophlebitis of other sites,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I809,Phlebitis and thrombophlebitis of unspecified site,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I81,Portal vein thrombosis,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I822,Embolism and thrombosis of vena cava,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I828,Embolism and thrombosis of other specified veins,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I830,Varicose veins of lower extremities with ulcer,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I831,Varicose veins of lower extremities with inflammation,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I839,Varicose veins of lower extremities without ulcer or inflammation,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I840,Internal thrombosed haemorrhoids,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I841,Internal haemorrhoids with other complications,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I842,Internal haemorrhoids without complication,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I843,External thrombosed haemorrhoids,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I845,External haemorrhoids without complication,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I848,Unspecified haemorrhoids with other complications,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I849,Unspecified haemorrhoids without complication,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I850,Oesophageal varices with bleeding,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I859,Oesophageal varices without bleeding,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I861,Scrotal varices,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I864,Gastric varices,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I8640,Gastric varices with bleeding,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I868,Varicose veins of other specified sites,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I871,Compression of vein,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I872,Venous insufficiency (chronic)(peripheral),Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I880,Nonspecific mesenteric lymphadenitis,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I889,"Nonspecific lymphadenitis, unspecified",Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I890,"Lymphoedema, not elsewhere classified",Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I891,Lymphangitis,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I898,Other specified noninfective disorders of lymphatic vessels and lymph nodes,Diseases of the circulatory system,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
I951,Orthostatic hypotension,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I952,Hypotension due to drugs,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I959,"Hypotension, unspecified",Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
I970,Postcardiotomy syndrome,Diseases of the circulatory system,Other and unspecified disorders of the circulatory system
A400,"Sepsis due to Streptococcus, group A",Certain infectious and parasitic diseases,Other bacterial diseases
I020,Rheumatic chorea with heart involvement,Diseases of the circulatory system,Acute rheumatic fever
L508,Other urticaria,Diseases of the skin and subcutaneous tissue,Urticaria and erythema
M2556,Pain in joint: lower leg,Diseases of the musculoskeletal system and connective tissue,Arthropathies
M2557,Pain in joint: ankle and foot,Diseases of the musculoskeletal system and connective tissue,Arthropathies
E871,Hyposmolality and hyponatraemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E876,Hypokalaemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
D509,"Iron deficiency anaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias
N922,Excessive menstruation at puberty,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
B029,Zoster without complication,Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions
B182,Chronic viral hepatitis C,Certain infectious and parasitic diseases,Viral hepatitis
B24,Unspecified human immunodeficiency virus [HIV] disease,Certain infectious and parasitic diseases,Human immunodeficiency virus [HIV] disease
C187,"Malignant neoplasm of colon, sigmoid colon",Neoplasms,Malignant neoplasms
C509,"Malignant neoplasm of breast, unspecified",Neoplasms,Malignant neoplasms
C793,Secondary malignant neoplasm of brain and cerebral meninges,Neoplasms,Malignant neoplasms
D569,"Thalassaemia, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Haemolytic anaemias
D65,Disseminated intravascular coagulation [defibrination syndrome],Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
D689,"Coagulation defect, unspecified",Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
E059,"Thyrotoxicosis, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
E113,"Type 2 diabetes mellitus, with ophthalmic complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E119,"Type 2 diabetes mellitus, without complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E149,"Diabetes mellitus, without complications","Endocrine, nutritional and metabolic diseases",Diabetes mellitus
E213,"Hyperparathyroidism, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands
E46,Unspecified protein-energy malnutrition,"Endocrine, nutritional and metabolic diseases",Malnutrition
E785,"Hyperlipidaemia, unspecified","Endocrine, nutritional and metabolic diseases",Metabolic disorders
E789,"Disorder of lipoprotein metabolism, unspecified","Endocrine, nutritional and metabolic diseases",Metabolic disorders
E834,Disorders of magnesium metabolism,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E872,Acidosis,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E875,Hyperkalaemia,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
E877,Fluid overload,"Endocrine, nutritional and metabolic diseases",Metabolic disorders
G459,"Transient cerebral ischaemic attack, unspecified",Diseases of the nervous system,Episodic and paroxysmal disorders
G460,Middle cerebral artery syndrome (I66.0+),Diseases of the nervous system,Episodic and paroxysmal disorders
G819,"Hemiplegia, unspecified",Diseases of the nervous system,Cerebral palsy and other paralytic syndromes
H3602,Proliferative diabetic retinopathy (PDR),Diseases of the eye and adnexa,Disorders of choroid and retina
I062,Rheumatic aortic stenosis with insufficiency,Diseases of the circulatory system,Chronic rheumatic heart diseases
I081,Disorders of both mitral and tricuspid valves,Diseases of the circulatory system,Chronic rheumatic heart diseases
I513,"Intracardiac thrombosis, not elsewhere classified",Diseases of the circulatory system,Other forms of heart disease
J156,Pneumonia due to other aerobic gram-negative bacteria,Diseases of the respiratory system,Influenza and pneumonia
J40,"Bronchitis, not specified as acute or chronic",Diseases of the respiratory system,Chronic lower respiratory diseases
J449,"Chronic obstructive pulmonary disease, unspecified",Diseases of the respiratory system,Chronic lower respiratory diseases
J459,"Asthma, unspecified",Diseases of the respiratory system,Chronic lower respiratory diseases
J960,Acute respiratory failure,Diseases of the respiratory system,Other diseases of the respiratory system
K029,"Dental caries, unspecified",Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws"
K219,Gastro-oesophageal reflux disease without oesophagitis,Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum"
K703,Alcoholic cirrhosis of liver,Diseases of the digestive system,Diseases of liver
K859,"Acute pancreatitis, unspecified",Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas"
L509,"Urticaria, unspecified",Diseases of the skin and subcutaneous tissue,Urticaria and erythema
N179,"Acute renal failure, unspecified",Diseases of the genitourinary system,Renal failure
N185,"Chronic kidney disease, stage 5",Diseases of the genitourinary system,Renal failure
N390,"Urinary tract infection, site not specified",Diseases of the genitourinary system,Other diseases of urinary system
N40,Hyperplasia of prostate,Diseases of the genitourinary system,Diseases of male genital organs
N858,Other specified noninflammatory disorders of uterus,Diseases of the genitourinary system,Noninflammatory disorders of female genital tract
Q211,Atrial septal defect,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
Q240,Dextrocardia,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
R570,Cardiogenic shock,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R572,Septic shock,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",General symptoms and signs
R731,Impaired fasting glucose,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
N189,"Chronic kidney disease, unspecified",Diseases of the genitourinary system,Renal failure
Q242,Cor triatriatum,"Congenital malformations, deformations and chromosomal abnormalities",Congenital malformations of the circulatory system
D683,Haemorrhagic disorder due to circulating anticoagulants,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Coagulation defects, purpura and other haemorrhagic conditions"
E039,"Hypothyroidism, unspecified","Endocrine, nutritional and metabolic diseases",Disorders of thyroid gland
M1099,"Gout, unspecified: site unspecified",Diseases of the musculoskeletal system and connective tissue,Arthropathies
N183,"Chronic kidney disease, stage 3",Diseases of the genitourinary system,Renal failure
M314,Aortic arch syndrome [Takayasu],Diseases of the musculoskeletal system and connective tissue,Systemic connective tissue disorders
A410,Sepsis due to Staphylococcus aureus,Certain infectious and parasitic diseases,Other bacterial diseases
D638,Anaemia in other chronic diseases classified elsewhere,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Aplastic and other anaemias
E162,"Hypoglycaemia, unspecified","Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion
J90,"Pleural effusion, not elsewhere classified",Diseases of the respiratory system,Other diseases of pleura
J981,Pulmonary collapse,Diseases of the respiratory system,Other diseases of the respiratory system
K729,"Hepatic failure, unspecified",Diseases of the digestive system,Diseases of liver
R739,"Hyperglycaemia, unspecified","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Abnormal findings on examination of blood, without diagnosis"
T820,Mechanical complication of heart valve prosthesis,"Injury, poisoning and certain other consequences of external causes","Complications of surgical and medical care, not elsewhere classified"
D508,Other iron deficiency anaemias,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Nutritional anaemias
