id,Pdx,Sdx,number_of_patient
186,I10,E668,5
187,I10,E669,4
188,I10,E785,2
189,I10,E789,31
190,I10,E834,8
191,I10,E871,4
192,I10,E872,1
193,I10,E873,1
194,I10,E875,5
195,I10,E876,6
196,I10,E877,2
197,I10,E890,1
198,I10,F840,1
199,I10,F900,1
200,I10,G442,1
201,I10,G473,4
202,I10,G629,1
203,I10,G819,1
204,I10,H350,1
205,I10,H360,1
206,I10,H3602,2
207,I10,H409,2
208,I10,I071,2
209,I10,I159,1
210,I10,I214,4
211,I10,I251,4
212,I10,I272,1
213,I10,I429,1
214,I10,I442,1
215,I10,I48,4
216,I10,I500,14
217,I10,I501,2
218,I10,I509,1
219,I10,I517,1
220,I10,I635,1
221,I10,I671,2
222,I10,I675,1
223,I10,I694,7
224,I10,I710,1
225,I10,I872,1
226,I10,J189,1
227,I10,J449,1
228,I10,J459,1
229,I10,J81,1
230,I10,J960,2
231,I10,K250,1
232,I10,K30,1
233,I10,K449,1
234,I10,K758,2
235,I10,M0699,1
236,I10,M1189,1
237,I10,M179,1
238,I10,M4206,1
239,I10,M4316,1
240,I10,M4786,1
241,I10,M8199,2
242,I10,N001,1
243,I10,N083,4
244,I10,N10,1
245,I10,N179,19
246,I10,N183,3
247,I10,N184,1
248,I10,N185,8
249,I10,N189,5
250,I10,N300,1
251,I10,N390,1
252,I10,N939,1
253,I10,Q447,1
254,I10,Q938,1
255,I10,R001,1
256,I10,R31,2
257,I10,R42,1
258,I10,R730,1
259,I10,R731,2
260,I10,R80,1
261,I10,T810,1
262,I110,A090,1
263,I110,A199,1
264,I110,A419,1
265,I110,C61,2
266,I110,C679,1
267,I110,D350,1
268,I110,D509,2
269,I110,D638,5
270,I110,D649,1
271,I110,D721,1
272,I110,E039,1
273,I110,E059,1
274,I110,E112,1
275,I110,E113,1
276,I110,E117,2
277,I110,E119,12
278,I110,E149,6
279,I110,E222,1
280,I110,E274,1
281,I110,E668,1
282,I110,E669,1
283,I110,E785,2
284,I110,E789,22
285,I110,E833,1
286,I110,E834,3
287,I110,E835,1
288,I110,E871,2
289,I110,E875,2
290,I110,E876,3
291,I110,G473,2
292,I110,G819,1
293,I110,H350,1
294,I110,H360,2
295,I110,H3602,1
296,I110,H405,1
297,I110,I10,6
298,I110,I214,3
299,I110,I219,1
300,I110,I251,12
301,I110,I269,1
302,I110,I272,2
303,I110,I340,2
304,I110,I38,1
305,I110,I469,1
306,I110,I48,10
307,I110,I495,1
308,I110,I500,1
309,I110,I693,1
310,I110,I694,2
311,I110,I710,1
312,I110,I716,1
313,I110,I802,1
314,I110,J156,2
315,I110,J189,1
316,I110,J209,1
317,I110,J40,1
318,I110,J441,1
319,I110,J449,1
320,I110,J90,2
321,I110,J939,1
322,I110,J960,9
323,I110,K279,1
324,I110,K729,1
325,I110,K922,2
326,I110,L031,1
327,I110,L890,1
328,I110,M1099,3
329,I110,M179,1
330,I110,M321,1
331,I110,M4800,1
332,I110,M6099,1
333,I110,M729,1
334,I110,N019,1
335,I110,N049,1
336,I110,N083,3
337,I110,N085,1
338,I110,N10,1
339,I110,N170,1
340,I110,N179,14
341,I110,N183,2
342,I110,N184,2
343,I110,N185,9
344,I110,N189,5
345,I110,N19,1
346,I110,N390,4
347,I110,N40,2
348,I110,R18,1
349,I110,R190,1
350,I110,R222,1
351,I110,R36,1
352,I110,R509,2
353,I110,R579,1
354,I119,E119,1
355,I119,E789,1
356,I119,E871,1
357,I119,F03,1
358,I119,G309,1
359,I119,I10,2
360,I119,I214,1
361,I119,I429,1
362,I119,I48,1
363,I119,J960,1
364,I119,N185,1
365,I129,D638,1
366,I129,E112,1
367,I129,E668,1
368,I129,E789,1
369,I129,G473,1
370,I129,I694,1
371,I129,J304,1
372,I129,N083,1
373,I129,N182,1
374,I129,N183,1
375,I130,A090,1
376,I130,C220,1
377,I130,D638,1
378,I130,D689,1
379,I130,E039,1
380,I130,E222,1
381,I130,E789,2
382,I130,E871,1
383,I130,E876,1
384,I130,G473,1
385,I130,I10,2
386,I130,I251,2
387,I130,I48,1
388,I130,J189,1
389,I130,J440,1
390,I130,J960,1
391,I130,K703,1
392,I130,K720,1
393,I130,N183,1
394,I130,N643,1
395,I130,R571,1
396,I139,D509,1
397,I139,D619,1
398,I139,D731,1
399,I139,E119,1
400,I139,E149,1
401,I139,E789,1
402,I139,E871,1
403,I139,I10,1
404,I139,I251,1
405,I139,I38,1
406,I139,K746,2
407,I139,K758,1
408,I139,N179,1
409,I139,N185,1
410,I139,N390,2
411,I139,R18,1
412,I139,R770,1
413,I151,N009,1
414,I151,R80,1
415,I159,C509,1
416,I159,E119,1
417,I159,E789,1
418,I159,E873,1
419,I159,E875,1
420,I159,E876,3
421,I159,M1006,1
422,I159,M1099,1
423,I159,M189,1
424,I159,N179,1
425,I200,A150,1
426,I200,A415,1
427,I200,b181,1
428,I200,B961,1
429,I200,D509,3
430,I200,D62,2
431,I200,D638,1
432,I200,D683,1
433,I200,E02,1
434,I200,E119,14
435,I200,E149,2
436,I200,E213,1
437,I200,E785,1
438,I200,E789,18
439,I200,E833,1
440,I200,E834,2
441,I200,E872,1
442,I200,E875,1
443,I200,E876,2
444,I200,F03,1
445,I200,F059,1
446,I200,G20,1
447,I200,G473,1
448,I200,I10,25
449,I200,I110,1
450,I200,I211,1
451,I200,I219,1
452,I200,I251,15
453,I200,I255,2
454,I200,I350,1
455,I200,I420,2
456,I200,I451,1
457,I200,I48,5
458,I200,I500,3
459,I200,I694,5
460,I200,I808,1
461,I200,I959,1
462,I200,J155,1
463,I200,J181,1
464,I200,J189,1
465,I200,J459,2
466,I200,J90,2
467,I200,J960,1
468,I200,J984,1
469,I200,K219,2
470,I200,K250,1
471,I200,K573,1
472,I200,K746,1
473,I200,K750,1
474,I200,K754,1
475,I200,K819,1
476,I200,M1099,2
477,I200,M321,1
478,I200,M4696,1
479,I200,N085,1
480,I200,N179,3
481,I200,N183,1
482,I200,N184,1
483,I200,N185,5
484,I200,N189,1
485,I200,N390,2
486,I200,N40,1
487,I200,R31,1
488,I200,R392,2
489,I200,R570,1
490,I200,R731,1
491,I201,A418,1
492,I201,D65,1
493,I201,D689,1
494,I201,E835,1
495,I201,E872,1
496,I201,E875,1
497,I201,I213,1
498,I201,I469,2
499,I201,I48,1
500,I201,I490,1
501,I201,J150,1
502,I201,J159,1
503,I201,J81,1
504,I201,J960,1
505,I201,K922,2
506,I201,R090,1
507,I201,R570,1
508,I208,D649,1
509,I208,E119,3
510,I208,E789,4
511,I208,E876,1
512,I208,G473,1
513,I208,I10,4
514,I208,I130,1
515,I208,I251,2
516,I208,I500,1
517,I208,K769,1
518,I208,N179,1
519,I208,N40,1
520,I209,I251,1
521,I209,N40,1
522,I210,A020,1
523,I210,A162,1
524,I210,A419,1
525,I210,b181,1
526,I210,B24,1
527,I210,B378,1
528,I210,B961,2
529,I210,B962,1
530,I210,C029,1
531,I210,C166,1
532,I210,D500,1
533,I210,D509,1
534,I210,D599,1
535,I210,D62,5
536,I210,D638,1
537,I210,D683,1
538,I210,D696,1
539,I210,E041,1
540,I210,E049,1
541,I210,E059,3
542,I210,E111,1
543,I210,E119,28
544,I210,E149,5
545,I210,E559,1
546,I210,E669,1
547,I210,E781,1
548,I210,E785,1
549,I210,E789,40
550,I210,E790,1
551,I210,E834,12
552,I210,E871,4
553,I210,E872,2
554,I210,E875,4
555,I210,E876,20
556,I210,F059,2
557,I210,F171,1
558,I210,F172,1
559,I210,G253,1
560,I210,G723,1
561,I210,G819,1
562,I210,G931,1
563,I210,I10,45
564,I210,I219,1
565,I210,I232,1
566,I210,I233,1
567,I210,I236,1
568,I210,I251,79
569,I210,I254,1
570,I210,I313,1
571,I210,I351,1
572,I210,I420,2
573,I210,I460,4
574,I210,I469,4
575,I210,I471,1
576,I210,I472,5
577,I210,I48,9
578,I210,I490,1
579,I210,I493,1
580,I210,I500,28
581,I210,I501,2
582,I210,I509,2
583,I210,I633,1
584,I210,I634,1
585,I210,I635,2
586,I210,I639,1
587,I210,I652,1
588,I210,I660,1
589,I210,I694,5
590,I210,I739,1
591,I210,I99,1
592,I210,J029,1
593,I210,J150,1
594,I210,J154,1
595,I210,J189,2
596,I210,J304,1
597,I210,J40,3
598,I210,J449,1
599,I210,J459,1
600,I210,J960,13
601,I210,K219,1
602,I210,K297,2
603,I210,K631,1
604,I210,K633,1
605,I210,K763,3
606,I210,M0699,1
607,I210,M1009,2
608,I210,M1099,2
609,I210,M1399,1
610,I210,M171,1
611,I210,M6288,1
612,I210,M750,1
613,I210,M8199,2
614,I210,N10,1
615,I210,N141,1
616,I210,N179,26
617,I210,N183,3
618,I210,N184,2
619,I210,N185,2
620,I210,N189,4
621,I210,N200,1
622,I210,N309,1
623,I210,N390,4
624,I210,N40,2
625,I210,N485,1
626,I210,N832,1
627,I210,N920,1
628,I210,Q210,1
629,I210,R31,1
630,I210,R33,1
631,I210,R35,1
632,I210,R392,1
633,I210,R509,2
634,I210,R51,1
635,I210,R570,13
636,I210,R571,1
637,I210,R572,1
638,I210,R731,3
639,I210,R739,1
640,I210,R945,2
641,I210,T810,2
642,I211,A090,1
643,I211,A099,1
644,I211,A410,1
645,I211,A415,1
646,I211,A419,2
647,I211,B029,1
648,I211,b181,1
649,I211,B24,1
650,I211,B962,1
651,I211,D469,1
652,I211,D638,2
653,I211,D649,1
654,I211,D689,2
655,I211,D696,1
656,I211,E110,2
657,I211,E112,1
658,I211,E113,1
659,I211,E119,24
660,I211,E149,9
661,I211,E559,1
662,I211,E669,2
663,I211,E785,2
664,I211,E789,42
665,I211,E790,1
666,I211,E834,3
667,I211,E835,1
668,I211,E871,2
669,I211,E872,5
670,I211,E875,6
671,I211,E876,12
672,I211,F059,1
673,I211,F171,2
674,I211,F419,1
675,I211,G20,1
676,I211,G473,1
677,I211,G931,2
678,I211,H360,1
679,I211,H811,1
680,I211,I10,43
681,I211,I139,1
682,I211,I219,3
683,I211,I232,1
684,I211,I236,2
685,I211,I251,71
686,I211,I252,1
687,I211,I254,4
688,I211,I319,1
689,I211,I340,4
690,I211,I350,1
691,I211,I429,1
692,I211,I442,7
693,I211,I460,3
694,I211,I461,1
695,I211,I469,3
696,I211,I471,1
697,I211,I472,1
698,I211,I48,7
699,I211,I490,2
700,I211,I495,1
701,I211,I500,8
702,I211,I509,2
703,I211,I634,1
704,I211,I635,1
705,I211,I639,1
706,I211,I64,1
707,I211,I693,1
708,I211,I739,1
709,I211,I743,1
710,I211,I842,2
711,I211,I952,1
712,I211,I959,1
713,I211,J181,1
714,I211,J189,4
715,I211,J81,1
716,I211,J90,1
717,I211,J960,7
718,I211,K279,1
719,I211,K30,1
720,I211,K659,1
721,I211,K758,1
722,I211,K759,2
723,I211,K760,1
724,I211,K761,1
725,I211,K763,3
726,I211,K922,3
727,I211,L031,1
728,I211,L409,1
729,I211,M1099,1
730,I211,M4809,1
731,I211,M6282,1
732,I211,M6288,1
733,I211,N083,1
734,I211,N10,3
735,I211,N179,15
736,I211,N183,1
737,I211,N185,6
738,I211,N189,5
739,I211,N390,1
740,I211,N40,2
741,I211,R001,3
742,I211,R042,1
743,I211,R18,1
744,I211,R31,2
745,I211,R392,1
746,I211,R568,2
747,I211,R570,18
748,I211,R572,3
749,I211,R731,3
750,I211,R739,1
751,I211,R945,2
752,I211,T801,1
753,I211,T802,1
754,I211,T810,2
755,I211,T823,1
756,I212,D638,1
757,I212,D649,1
758,I212,E119,7
759,I212,E222,1
760,I212,E785,2
761,I212,E789,5
762,I212,E834,3
763,I212,E876,5
764,I212,E877,1
765,I212,I10,8
766,I212,I251,8
767,I212,I442,1
768,I212,I48,1
769,I212,I500,2
770,I212,K720,1
771,I212,K922,1
772,I212,M0699,1
773,I212,N179,1
774,I212,N185,1
775,I212,N200,1
776,I212,N202,1
777,I212,R570,1
778,I212,R730,1
779,I213,A090,1
780,I213,A162,1
781,I213,A415,1
782,I213,A418,2
783,I213,b181,2
784,I213,B961,1
785,I213,C349,2
786,I213,C541,1
787,I213,C56,1
788,I213,C780,1
789,I213,C797,1
790,I213,D509,2
791,I213,D62,3
792,I213,D638,2
793,I213,D649,3
794,I213,D65,2
795,I213,D696,2
796,I213,E02,2
797,I213,E110,1
798,I213,E111,2
799,I213,E113,1
800,I213,E115,1
801,I213,E119,27
802,I213,E149,10
803,I213,E162,1
804,I213,E230,1
805,I213,E559,1
806,I213,E785,1
807,I213,E789,50
808,I213,E834,11
809,I213,E835,4
810,I213,E870,3
811,I213,E871,5
812,I213,E872,3
813,I213,E875,8
814,I213,E876,15
815,I213,F059,2
816,I213,F104,1
817,I213,F171,1
818,I213,F172,1
819,I213,F200,1
820,I213,G309,1
821,I213,G403,1
822,I213,G419,1
823,I213,G822,1
824,I213,G931,1
825,I213,G934,1
826,I213,G952,1
827,I213,H360,1
828,I213,I10,58
829,I213,I219,1
830,I213,I236,1
831,I213,I241,1
832,I213,I251,103
833,I213,I252,1
834,I213,I259,1
835,I213,I269,1
836,I213,I313,2
837,I213,I319,1
838,I213,I340,1
839,I213,I428,2
840,I213,I442,2
841,I213,I460,6
842,I213,I461,1
843,I213,I469,10
844,I213,I471,2
845,I213,I472,2
846,I213,I48,12
847,I213,I500,32
848,I213,I501,2
849,I213,I509,3
850,I213,I514,1
851,I213,I518,1
852,I213,I633,1
853,I213,I634,3
854,I213,I635,1
855,I213,I639,1
856,I213,I694,4
857,I213,I828,1
858,I213,I842,1
859,I213,I959,1
860,I213,J00,1
861,I213,J100,1
862,I213,J108,1
863,I213,J129,1
864,I213,J150,2
865,I213,J181,2
866,I213,J189,8
867,I213,J209,1
868,I213,J690,4
869,I213,J80,1
870,I213,J81,1
871,I213,J90,1
872,I213,J960,18
873,I213,K221,1
874,I213,K259,1
875,I213,K290,1
876,I213,K297,1
877,I213,K625,1
878,I213,K635,1
879,I213,K703,1
880,I213,K729,1
881,I213,K758,3
882,I213,K763,2
883,I213,K859,1
884,I213,K922,3
885,I213,L030,1
886,I213,L409,1
887,I213,L509,1
888,I213,L97,1
889,I213,M0699,1
890,I213,M1000,1
891,I213,M1007,1
892,I213,M1099,1
893,I213,M329,1
894,I213,M4788,1
895,I213,M4809,1
896,I213,M6288,1
897,I213,M6289,1
898,I213,M8199,2
899,I213,M9408,1
900,I213,M9488,1
901,I213,N059,1
902,I213,N10,2
903,I213,N142,2
904,I213,N170,1
905,I213,N179,26
906,I213,N183,2
907,I213,N184,1
908,I213,N185,2
909,I213,N189,6
910,I213,N390,7
911,I213,N40,1
912,I213,N920,1
913,I213,R001,1
914,I213,R042,1
915,I213,R05,1
916,I213,R062,1
917,I213,R31,5
918,I213,R392,1
919,I213,R409,1
920,I213,R509,3
921,I213,R568,1
922,I213,R570,21
923,I213,R571,2
924,I213,R572,10
925,I213,R633,1
926,I213,R731,6
927,I213,R739,3
928,I213,R936,1
929,I213,R945,1
930,I213,T810,2
931,I213,T827,1
932,I214,A047,2
933,I214,A073,1
934,I214,A090,2
935,I214,A099,3
936,I214,A180,1
937,I214,A199,1
938,I214,A403,1
939,I214,A410,4
940,I214,A415,3
941,I214,A418,6
942,I214,A419,4
943,I214,B029,3
944,I214,b181,6
945,I214,B182,4
946,I214,B200,1
947,I214,B24,3
948,I214,B309,1
949,I214,B349,1
950,I214,B377,2
951,I214,B440,1
952,I214,B909,1
953,I214,B952,2
954,I214,B961,6
955,I214,B962,8
956,I214,B964,2
957,I214,B968,1
958,I214,C184,1
959,I214,C187,2
960,I214,C20,1
961,I214,C220,1
962,I214,C349,3
963,I214,C509,3
964,I214,C539,1
965,I214,C61,4
966,I214,C680,1
967,I214,C760,1
968,I214,C779,1
969,I214,C780,1
970,I214,C793,1
971,I214,C795,1
972,I214,C798,1
973,I214,C900,1
974,I214,C911,1
975,I214,C921,1
976,I214,D259,1
977,I214,D27,1
978,I214,D320,1
979,I214,D500,3
980,I214,D508,2
981,I214,D509,10
982,I214,D550,1
983,I214,D559,1
984,I214,D563,1
985,I214,D569,1
986,I214,D591,1
987,I214,D62,18
988,I214,D630,1
989,I214,D638,24
990,I214,D649,19
991,I214,D65,3
992,I214,D683,6
993,I214,D686,1
994,I214,D689,7
995,I214,D693,2
996,I214,D696,7
997,I214,D70,1
998,I214,D721,2
999,I214,D728,1
1000,I214,D733,1
1001,I214,D749,1
1002,I214,D758,1
1003,I214,E02,3
1004,I214,E039,7
1005,I214,E042,1
1006,I214,E050,1
1007,I214,E059,10
1008,I214,E063,3
1009,I214,E109,1
1010,I214,E110,1
1011,I214,E112,5
1012,I214,E113,3
1013,I214,E115,3
1014,I214,E117,4
1015,I214,E119,185
1016,I214,E149,45
1017,I214,E214,1
1018,I214,E222,2
1019,I214,E232,1
1020,I214,E274,1
1021,I214,E43,1
1022,I214,E46,3
1023,I214,E559,1
1024,I214,E561,1
1025,I214,E668,1
1026,I214,E669,4
1027,I214,E720,1
1028,I214,E781,1
1029,I214,E785,7
1030,I214,E789,286
1031,I214,E833,7
1032,I214,E834,53
1033,I214,E835,9
1034,I214,E870,6
1035,I214,E871,24
1036,I214,E872,12
1037,I214,E873,1
1038,I214,E875,18
1039,I214,E876,89
1040,I214,E877,6
1041,I214,E880,3
1042,I214,E890,1
1043,I214,F019,1
1044,I214,F03,1
1045,I214,F058,1
1046,I214,F059,5
1047,I214,F102,3
1048,I214,F172,1
1049,I214,F29,1
1050,I214,F319,1
1051,I214,F322,1
1052,I214,F411,1
1053,I214,F419,1
1054,I214,G20,4
1055,I214,G255,1
1056,I214,G309,1
1057,I214,G405,1
1058,I214,G409,2
1059,I214,G459,2
1060,I214,G473,5
1061,I214,G629,1
1062,I214,G700,1
1063,I214,G722,1
1064,I214,G728,1
1065,I214,G819,5
1066,I214,G908,1
1067,I214,G931,1
1068,I214,G934,2
1069,I214,H110,1
1070,I214,H131,1
1071,I214,H360,1
1072,I214,H3600,1
1073,I214,H3602,3
1074,I214,H3609,1
1075,I214,H405,1
1076,I214,H46,1
1077,I214,I050,2
1078,I214,I071,1
1079,I214,I080,1
1080,I214,I10,373
1081,I214,I110,5
1082,I214,I120,1
1083,I214,I130,1
1084,I214,I139,2
1085,I214,I200,2
1086,I214,I201,1
1087,I214,I209,1
1088,I214,I236,1
1089,I214,I238,1
1090,I214,I251,393
1091,I214,I253,1
1092,I214,I254,4
1093,I214,I255,6
1094,I214,I258,1
1095,I214,I269,2
1096,I214,I270,2
1097,I214,I272,5
1098,I214,I313,4
1099,I214,I319,1
1100,I214,I340,2
1101,I214,I341,1
1102,I214,I350,11
1103,I214,I351,2
1104,I214,I420,4
1105,I214,I422,3
1106,I214,I429,1
1107,I214,I440,1
1108,I214,I441,2
1109,I214,I442,7
1110,I214,I460,9
1111,I214,I461,1
1112,I214,I469,12
1113,I214,I471,2
1114,I214,I472,5
1115,I214,I48,68
1116,I214,I493,1
1117,I214,I495,6
1118,I214,I499,1
1119,I214,I500,214
1120,I214,I501,9
1121,I214,I509,12
1122,I214,I514,1
1123,I214,I518,1
1124,I214,I606,1
1125,I214,I619,1
1126,I214,I630,1
1127,I214,I633,4
1128,I214,I634,2
1129,I214,I635,10
1130,I214,I639,4
1131,I214,I64,6
1132,I214,I652,6
1133,I214,I671,2
1134,I214,I693,1
1135,I214,I694,22
1136,I214,I701,1
1137,I214,I7021,1
1138,I214,I710,2
1139,I214,I712,2
1140,I214,I714,2
1141,I214,I715,1
1142,I214,I716,1
1143,I214,I724,1
1144,I214,I738,1
1145,I214,I739,8
1146,I214,I743,5
1147,I214,I744,1
1148,I214,I771,1
1149,I214,I802,4
1150,I214,I808,1
1151,I214,I828,1
1152,I214,I842,2
1153,I214,I864,1
1154,I214,I952,1
1155,I214,I959,9
1156,I214,I970,1
1157,I214,J108,1
1158,I214,J150,7
1159,I214,J151,5
1160,I214,J152,1
1161,I214,J156,8
1162,I214,J159,2
1163,I214,J172,1
1164,I214,J180,1
1165,I214,J181,5
1166,I214,J189,21
1167,I214,J208,1
1168,I214,J209,4
1169,I214,J304,1
1170,I214,J323,1
1171,I214,J329,1
1172,I214,J342,1
1173,I214,J40,11
1174,I214,J441,3
1175,I214,J449,10
1176,I214,J459,7
1177,I214,J46,2
1178,I214,J47,2
1179,I214,J690,6
1180,I214,J81,1
1181,I214,J869,1
1182,I214,J90,4
1183,I214,J939,1
1184,I214,J948,1
1185,I214,J951,1
1186,I214,J952,1
1187,I214,J955,1
1188,I214,J960,62
1189,I214,J981,2
1190,I214,J984,1
1191,I214,K053,1
1192,I214,K118,1
1193,I214,K20,1
1194,I214,K210,1
1195,I214,K219,5
1196,I214,K221,1
1197,I214,K226,1
1198,I214,K250,3
1199,I214,K254,3
1200,I214,K259,1
1201,I214,K290,2
1202,I214,K295,1
1203,I214,K297,5
1204,I214,K298,1
1205,I214,K299,1
1206,I214,K317,1
1207,I214,K318,1
1208,I214,K564,1
1209,I214,K566,1
1210,I214,K567,1
1211,I214,K573,1
1212,I214,K579,1
1213,I214,K590,1
1214,I214,K601,1
1215,I214,K625,4
1216,I214,K626,1
1217,I214,K632,1
1218,I214,K635,1
1219,I214,K638,1
1220,I214,K649,2
1221,I214,K720,2
1222,I214,K729,2
1223,I214,K746,6
1224,I214,K750,1
1225,I214,K758,2
1226,I214,K759,5
1227,I214,K760,3
1228,I214,K761,2
1229,I214,K763,9
1230,I214,K766,1
1231,I214,K802,1
1232,I214,K920,3
1233,I214,K922,14
1234,I214,K923,1
1235,I214,L022,1
1236,I214,L024,1
1237,I214,L031,3
1238,I214,L120,1
1239,I214,L409,2
1240,I214,L890,1
1241,I214,M0599,1
1242,I214,M0699,3
1243,I214,M1009,2
1244,I214,M1099,29
1245,I214,M130,1
1246,I214,M171,1
1247,I214,M349,1
1248,I214,M4316,1
1249,I214,M4319,1
1250,I214,M45,1
1251,I214,M4806,1
1252,I214,M4809,2
1253,I214,M4908,1
1254,I214,M6099,1
1255,I214,M6268,2
1256,I214,M6288,2
1257,I214,M6289,1
1258,I214,M6538,1
1259,I214,M750,1
1260,I214,M8199,3
1261,I214,M8696,1
1262,I214,N019,1
1263,I214,N029,1
1264,I214,N049,1
1265,I214,N051,1
1266,I214,N052,1
1267,I214,N083,8
1268,I214,N10,12
1269,I214,N12,1
1270,I214,N141,1
1271,I214,N142,3
1272,I214,N170,1
1273,I214,N179,104
1274,I214,N183,30
1275,I214,N184,25
1276,I214,N185,50
1277,I214,N189,41
1278,I214,N200,2
1279,I214,N218,1
1280,I214,N300,5
1281,I214,N319,2
1282,I214,N390,21
1283,I214,N394,1
1284,I214,N40,24
1285,I214,N508,1
1286,I214,N939,1
1287,I214,N990,1
1288,I214,R000,2
1289,I214,R001,9
1290,I214,R02,1
1291,I214,R066,1
1292,I214,R090,1
1293,I214,R101,1
1294,I214,R11,1
1295,I214,R17,1
1296,I214,R18,2
1297,I214,R190,1
1298,I214,R31,19
1299,I214,R33,1
1300,I214,R392,3
1301,I214,R42,2
1302,I214,R509,5
1303,I214,R55,3
1304,I214,R568,1
1305,I214,R570,35
1306,I214,R571,3
1307,I214,R572,16
1308,I214,R579,1
1309,I214,R58,1
1310,I214,R730,1
1311,I214,R731,7
1312,I214,R739,4
1313,I214,R789,1
1314,I214,R91,1
1315,I214,R945,1
1316,I214,T801,5
1317,I214,T810,11
1318,I214,T814,3
1319,I214,T820,1
1320,I214,T825,1
1321,I214,T827,1
1322,I214,T828,5
1323,I219,A048,1
1324,I219,C61,1
1325,I219,D509,1
1326,I219,D689,1
1327,I219,D696,1
1328,I219,E119,4
1329,I219,E149,1
1330,I219,E785,1
1331,I219,E789,7
1332,I219,E871,1
1333,I219,E872,1
1334,I219,E875,1
1335,I219,E876,1
1336,I219,E877,1
1337,I219,G473,1
1338,I219,I050,1
1339,I219,I10,9
1340,I219,I251,7
1341,I219,I272,1
1342,I219,I420,1
1343,I219,I469,2
1344,I219,I48,2
1345,I219,I500,1
1346,I219,I519,1
1347,I219,J40,1
1348,I219,J849,1
1349,I219,J960,1
1350,I219,K649,1
1351,I219,L97,1
1352,I219,M1099,1
1353,I219,N179,1
